Date,Adj Close,Close,High,Low,Open,Volume
2015-01-01,486.962890625,503.04998779296875,504.0,499.04998779296875,502.6499938964844,1351985
2015-01-02,497.8531188964844,514.2999877929688,516.9000244140625,501.70001220703125,503.20001220703125,3852825
2015-01-05,500.9991760253906,517.5499877929688,520.4000244140625,515.0999755859375,516.9000244140625,2561430
2015-01-06,483.09075927734375,499.04998779296875,513.5499877929688,496.75,513.5499877929688,5284530
2015-01-07,482.70355224609375,498.6499938964844,505.3500061035156,494.5,498.79998779296875,4245189
2015-01-08,485.8980712890625,501.95001220703125,507.0,494.6499938964844,506.0,5637844
2015-01-09,479.1219177246094,494.95001220703125,505.8999938964844,487.0,504.8999938964844,5078463
2015-01-12,485.51080322265625,501.54998779296875,503.79998779296875,492.1499938964844,495.0,2290147
2015-01-13,488.36651611328125,504.5,511.70001220703125,500.29998779296875,504.0,4069260
2015-01-14,483.6231994628906,499.6000061035156,505.75,494.20001220703125,504.5,2973231
2015-01-15,497.6111145019531,514.0499877929688,523.9500122070312,511.1000061035156,523.4500122070312,6670800
2015-01-16,498.33709716796875,514.7999877929688,521.5,512.5999755859375,516.5999755859375,6920742
2015-01-19,512.03466796875,528.9500122070312,531.7999877929688,516.8499755859375,519.4500122070312,6113156
2015-01-20,533.7667846679688,551.4000244140625,554.7000122070312,531.0999755859375,532.5499877929688,6934581
2015-01-21,529.7494506835938,547.25,556.7999877929688,545.5499877929688,553.0,4459351
2015-01-22,546.6897583007812,564.75,567.1500244140625,547.7999877929688,549.7000122070312,5546866
2015-01-23,547.0769653320312,565.1500244140625,577.4000244140625,560.2999877929688,571.0,4975114
2015-01-27,573.1651000976562,592.0999755859375,597.7999877929688,567.0,570.9000244140625,5376830
2015-01-28,571.7130737304688,590.5999755859375,599.7999877929688,583.4500122070312,590.0,6370073
2015-01-29,580.3285522460938,599.5,602.0,582.0999755859375,588.9500122070312,5424486
2015-01-30,569.2930297851562,588.0999755859375,604.0499877929688,583.7000122070312,602.75,4497194
2015-02-02,597.5592041015625,617.2999877929688,621.0,584.4000244140625,586.0,6307718
2015-02-03,567.8410034179688,586.5999755859375,625.5999755859375,584.5,623.0,9290016
2015-02-04,540.736328125,558.5999755859375,592.0,553.25,591.0,10773056
2015-02-05,547.802978515625,565.9000244140625,578.5,558.5999755859375,562.4000244140625,6865785
2015-02-06,545.1409301757812,563.1500244140625,571.5,545.75,568.0,7706020
2015-02-09,535.8963012695312,553.5999755859375,569.5999755859375,550.0,555.0,4334546
2015-02-10,536.3803100585938,554.0999755859375,569.7999877929688,540.5,546.9000244140625,9809275
2015-02-11,551.0458984375,569.25,572.6500244140625,555.5,559.3499755859375,6200994
